,Name,Rating,Type,Address,"Latitude, Longitude",Station
0,Shalom Adventures,4.1,Adventure Sports Center,"1407, Ruby Isle, CHS, Royal Palms, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065","19.1626122775454, 72.8868940727239",goregoan
1,Royal palm adventure park,3,Adventure sports,"Royal Palms Estate, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065","19.1523889185809, 72.8905831692612",goregoan
2,Proboscis,4.47,Adventure Sports Center,"A-6, Suyash Shopping Centre Near Apna Bazar, Film City Road Goregaon(East), Mumbai, Maharashtra 400065","19.1774730272568, 72.8768450210455",goregoan
3,Offbeatrangers Academy,5,Adventure sports,"AJGOANKAR, near, R-3-B/18, VISHWESHWAR CHS LTD, JUNCTION OF JVL ROAD, Jogeshwari West, E, Maharashtra 400060","19.1467259438376, 72.8555915974473",goregoan
4,Alfiya's SodaCan flip nightmare,4.47,Adventure Sports Center,"400047, Kakaji Nagar, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062","19.1700761037665, 72.8456352371677",goregoan
5,Outdoor Adventure,4.47,Adventure Sports Center,"Options Primo Building, No. 115, 1st Floor, near Passport Office, Sainath Nagar, Mumbai, Maharashtra 400096","19.1266162137023, 72.876190963543",goregoan
6,Wayfarer Sports Private Limited,5,Adventure Sports Center,"Pioneer Industrial Estate, 113, Subhash Nagar, Jogeshwari East, Mumbai, Maharashtra 400060","19.1470502742508, 72.8507850786916",goregoan
7,Advensure,4.8,Adventure Sports Center,"C-505, Navdurga CHS, Police Lane, Andheri (E), Mumbai, Maharashtra 400069","19.1195929748866, 72.8498101816365",andheri
8,Bhavan's Nature And Adventure Centre,4.5,Adventure Sports Center,"Bhavans Campus, New Dadabhai Rd, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058","19.1254373176762, 72.8348493402094",andheri
9,Kalichaudas Adventure Park,4.47,Adventure Sports Center,"63, Veera Desai Industrial Estate Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","19.140033437457543, 72.83330438775224",andheri
10,Extreme Sports India,5,Adventure sports,"Solitaire Park, Business Square, A-201, First Floor, Chakala, Andheri East, Mumbai, Maharashtra 400093","19.11521926648991, 72.86059854782911",andheri
11,Outdoor Adventure,4.47,Adventure Sports Center,"Options Primo Building, No. 115, 1st Floor, near Passport Office, Sainath Nagar, Mumbai, Maharashtra 400096","19.121625896219545, 72.8756189179751",andheri
12,OWG Paintball And Laser Tag Arena,4.1,Adventure Sports Center,"Fun Republic Mall Lane, New Link Rd, next to YRF Studio, Andheri West, Mumbai, Maharashtra 400102","19.138006275696213, 72.83502100062805",andheri
13,Pro Paintball And Laser Tag,4.8,Adventure Sports Center,"Fun Republic Lane, New Link Rd, next to Yash Raj [YRF] Studio, Andheri West, Mumbai, Maharashtra 400102","19.136708879137974, 72.8351068313201",andheri
14,Exploita Adventure Wildlife Offbeat,2.3,Tour agency,"Krishna Kaveri, Lokhandwala, Andheri West, Mumbai, Maharashtra 411053","19.150796162372174, 72.82718204713008",andheri
15,Ada Experience,4.47,Adventure sports,"201, A-wing, Pranik Chambers,, Sakinaka Junction, Andheri(East), Mumbai, Maharashtra 400072","19.107439470478763, 72.88795000159357",andheri
16,Ultimate Sports,4.4,Outdoor sports store,"Shahaji Raje Marg, Yash Co-Operative Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.112262052774266, 72.84852335605704",vileparle
17,Far Escape Adventures,5,Adventure Sports Center,"D/311, Parmar CHS, Paranjpe B Scheme, Vile Parle East, Mumbai, Maharashtra 400057","19.105368442951193, 72.85281489066035",vileparle
18,Advensure,4.8,Adventure Sports Center,"C-505, Navdurga CHS, Police Lane, Andheri (E), Mumbai, Maharashtra 400069","19.11939866368144, 72.84886667882533",vileparle
19,Gear Up Sports,4.1,Sporting goods store,"Shop No.1, Aram Baug, Swami Vivekananda Rd, opp. Pavan Hans, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056","19.101069929043632, 72.83951113339018",vileparle
20,Urban Sports,4.2,Sports complex,"Prabodhankar Thackeray Krida Sankul, Shahaji Raje Marg, Vile Parle East, Mumbai, Maharashtra 400057","19.10974794601079, 72.84921000159359",vileparle
21,Sailing Bay Watersports Juhu,5,Adventure sports,"Sailing Bay, Police Station, opp. Juhu, Juhu Tara, Juhu, Mumbai, Maharashtra 400049","19.10666608557723, 72.82449076227867",vileparle
22,Bhavan's Nature And Adventure Centre,4.5,Adventure Sports Center,"Bhavans Campus, New Dadabhai Rd, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058","19.125075293228985, 72.83461878394243",vileparle
23,GK Sports,4.3,Sporting goods store,"No. 33, Mahatma Gandhi Rd, Near Parleshwar Temple, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.10342195992467, 72.8456909432189",vileparle
24,Enjoy-a-Ball Vile Parle East,4,Sports complex,"Prabodhankar thackeray Krida Sankul, Shahaji Raje Marg, Vile Parle East, Mumbai, Maharashtra 400057","19.110477851912155, 72.84921000159359",vileparle
25,Nirvana Adventures,4.5,Adventure Sports Center,"Takshashila Apartments, 2A, Tagore Rd, Santacruz West, Mumbai, Maharashtra 400054","19.081063095129615, 72.8351016788253",vileparle
